Sl No.,Tamb,Intensity (kW/m2),Ti,Flow rate (g/s),Tm3,Qm3,Efficiency
1,26,0.52,30.5,8,41.12857143,0.4098377143,0.6564314017
2,34,0.52,30.5,8,41.68571429,0.4313211429,0.7384853269
3,26,1.08,30.5,8,48.17619048,0.6815939048,0.509207075
4,34,1.08,30.5,8,47.21428571,0.6445028571,0.5706631012
5,30,0.8,23,6,37.13333333,0.408736,0.4711262872
6,30,0.8,38,6,53.39047619,0.4450925714,0.4489033492
7,30,0.8,23,10,39.2347619,0.7825155238,0.7629875407
8,30,0.8,38,10,52.87333333,0.7168946667,0.7185416645
9,26,0.8,30.5,6,44.38095238,0.4014371429,0.4889046377
10,34,0.8,30.5,6,46.51809524,0.4632433143,0.5377951015
11,26,0.8,30.5,10,44.97428571,0.6976605714,0.7555798946
12,34,0.8,30.5,10,47.21333333,0.8055826667,0.8074334168
13,30,0.52,23,8,33.94714286,0.4221218286,0.7202511213
14,30,1.08,23,8,40.00571429,0.6557403429,0.5443248043
15,30,0.52,38,8,49.21904762,0.4326064762,0.6928998129
16,30,1.08,38,8,55.53142857,0.6760118857,0.5179865073
17,26,0.8,23,8,38.28571429,0.5894171429,0.6340944998
18,34,0.8,23,8,39.71666667,0.6445946667,0.7052079017
19,26,0.8,38,8,53.84761905,0.6110841905,0.6163161493
20,34,0.8,38,8,54.43857143,0.6338713143,0.6577989671
21,30,0.52,30.5,6,42.92,0.3591864,0.5538639952
22,30,1.08,30.5,6,49.76,0.5569992,0.4148281774
23,30,0.52,30.5,10,42.00619048,0.554598381,0.8319356306
24,30,1.08,30.5,10,47.32857143,0.8111371429,0.6255345533
25,30,0.8,30.5,8,44.5,0.53984,0.5926116821
26,30,0.8,30.5,8,45.11428571,0.5635268571,0.5866855652
27,30,0.8,30.5,8,46.14,0.6030784,0.6044639157
28,30,0.8,30.5,8,46.04285714,0.5993325714,0.6044639157
29,30,0.8,30.5,8,43.7,0.508992,0.5866855652
30,30,0.8,23,24,29.95105263,0.8040977684,0.9235385214
31,30,0.8,38,24,44.55368421,0.7581301895,0.864589254
32,26,0.8,30.5,24,37.56947368,0.8177967158,0.9038887656
33,34,0.8,30.5,15,38.36842105,0.5688868421,0.6140548679
34,30,0.52,30.5,15,35.41526316,0.3553735263,0.6235018659
35,30,1.08,30.5,15,37.83473684,0.5303014737,0.473049676
